time	V(n001)
3.021519949611331e-003	1.505600e-003
3.023138791680894e-003	1.560502e-003
3.024729723004057e-003	1.604058e-003
3.026399534886795e-003	1.638585e-003
3.028777755742593e-003	1.668028e-003
3.032629163416704e-003	1.667870e-003
3.038741228435169e-003	1.557948e-003
3.047841707609609e-003	1.215727e-003
3.057607332609609e-003	7.788271e-004
3.063718215109593e-003	5.630590e-004
3.067259702670721e-003	4.805384e-004
3.069742305069040e-003	4.457488e-004
3.071565171328715e-003	4.333527e-004
3.073194992981015e-003	4.320760e-004
3.074829561864563e-003	4.402741e-004
3.076436649256548e-003	4.576481e-004
3.078838097246650e-003	5.006929e-004
3.082726338568088e-003	6.121677e-004
3.088107716306000e-003	8.421058e-004
3.096103501915068e-003	1.296587e-003
3.105869126915068e-003	1.888805e-003
3.112919733531474e-003	2.225438e-003
3.116722477472097e-003	2.345563e-003
3.119355986975798e-003	2.397563e-003
3.122837736015015e-003	2.423552e-003
3.126306920385758e-003	2.398994e-003
3.128627160133549e-003	2.354327e-003
3.132386494980155e-003	2.235502e-003
3.138362740877230e-003	1.940236e-003
3.147306540169236e-003	1.324266e-003
3.157072165169235e-003	5.843187e-004
3.163478762841942e-003	1.666637e-004
3.167097676553930e-003	-1.999475e-005
3.169625457479478e-003	-1.240941e-004
3.171478144237578e-003	-1.854431e-004
3.173086826281680e-003	-2.280207e-004
3.174637401855720e-003	-2.594508e-004
3.176365209280464e-003	-2.832519e-004
3.178721944028538e-003	-2.966872e-004
3.182539253027498e-003	-2.731268e-004
3.188601119449250e-003	-1.318030e-004
3.197644095061141e-003	2.476014e-004
3.207409720061141e-003	7.186469e-004
3.213630421439557e-003	9.554378e-004
3.217200205914803e-003	1.046249e-003
3.219699364992218e-003	1.085704e-003
3.221533177387857e-003	1.100958e-003
3.223155232236000e-003	1.104414e-003
3.224758929706697e-003	1.098401e-003
3.226410392847373e-003	1.082352e-003
3.228795409396102e-003	1.041659e-003
3.232657596730840e-003	9.334931e-004
3.238785506025289e-003	6.675280e-004
